,title,nsuid,price_us,description
6198,Arcade Archives POP FLAMER,70010000041247,7.99,"""POP FLAMER"" is an action game released by JALECO in 1982. Players control the POP FLAMER to defeat monsters as they pop all the balloons in each stage. You'll need to refuel your flamethrower by popping balloons, since the flames get weaker each time yo…"
12790,Arcade Archives POWER SPIKES,70010000083580,7.99,
7711,Arcade Archives PRO TENNIS WORLD COURT,70010000050491,7.99,"""PRO TENNIS WORLD COURT"" is a sports game released by NAMCO （Bandai Namco Entertainment Inc.) in 1988. Choose your favorite player from 20 unique players from all over the world! You can play doubles as well as singles. Enjoy exciting tennis. The ""Arcade…"
1693,Arcade Archives PSYCHO SOLDIER,70010000014811,7.99,"PSYCHO SOLDIER is an action game released by SNK in 1987. Play as the Two Soldiers of Light, ATHENA ASAMIYA and SIE KENSOU, and use their psychic powers to defeat the otherworldly monster SIGMA! Fill up the Psycho Gauge for a Psycho Ball attack! The supe…"
784,Arcade Archives PUNCH-OUT!!,70010000006242,7.99,“PUNCH-OUT!!” is a sports-action game released by Nintendo in 1984. Watch your opponents' expressions and moves as you use a variety of punches and defensive moves on your path to become the boxing champion. The game became extremely popular with the dou…
1836,Arcade Archives Penguin-Kun Wars,70010000015060,7.99,"""Penguin-Kun Wars"" is an action game released by UPL in 1985. Set in the village's original sports ""DOJIBALL"" tournament, unique animal characters face off across the table to throw a ball 10 times at each other. The winner is the first side to throw all…"
4200,Arcade Archives Pettan Pyuu,70010000030323,7.99,"""Pettan Pyuu"" is an action game released by SUNSOFT in 1984. Take control of the character, ""Pettan"" and make use of the plates to wipe out bugs and solve the interdimensional maze. You will need to master 4 different types of plates, all with their own …"
2573,Arcade Archives Pinball,70010000019823,7.99,"""Pinball"" is a pinball game released by Nintendo in 1984. The rules are simple even for beginners: try to gain points without losing the ball. However, with various tricks and features, the game offers a depth that even experts can enjoy. Fans can also e…"
7341,Arcade Archives QIX,70010000048180,7.99,"""QIX"" is a line-drawing puzzle game developed by TAITO AMERICA (the company's US branch) in 1981, then imported into Japan. Players control the ""Marker"" to draw lines, closing off and controlling areas. Avoid the hostile ""QIX"" and ""Sparx"" that roam the s…"
8250,Arcade Archives RABIO LEPUS,70010000053443,7.99,"""RABIO LEPUS"" is a shooting game released by VIDEO SYSTEM in 1987. Suddenly, an alien attack was launched on the peaceful country ""BUNNYLAND"", and the king, princess, and princess' sister were kidnapped. The royal special combat mecha ""USAGI"" goes to att…"
4141,Arcade Archives RADICAL RADIAL,70010000029886,7.99,"""RADICAL RADIAL"" is an action shooting game released by Nichibutsu in 1983. Control a tire-shaped vehicle and head for the goal. Speed through dangerous courses filled with aliens and enemy vehicles, accelerating, decelerating, shooting, and jumping to g…"
4843,Arcade Archives RAIDEN,70010000034654,7.99,"""RAIDEN"" is a shooting game released by SEIBU KAIHATSU in 1990. Get aboard the ultra high-altitude fighter-bomber RAIDEN and protect the Earth from a sudden alien invasion. A variety of stages and power-up items provide lots of excitement for you to enjo…"
734,Arcade Archives RAIDERS5,70010000006297,7.99,"""RAIDERS5"" is a shooting puzzle game released by UPL in 1985. Players aim to escape by destroying all of the targets on the stage. Find the exit! The ""Arcade Archives"" series has faithfully reproduced many classic Arcade masterpieces. Players can change …"
6697,Arcade Archives RAIMAIS,70010000044553,7.99,"""RAIMAIS"" is an action game released by TAITO in 1988. Drive the ""ORGANIZER"" through different stages of the labyrinth to rescue your captured brother. The ending will change depending on what items you get and how you get through the labyrinths, so try …"
11323,Arcade Archives RAINBOW ISLANDS,70010000073771,7.99,
6549,Arcade Archives RALLY-X,70010000043836,7.99,"""RALLY-X"" is an action game released by NAMCO in 1980. Players control a car and dodge pursuing red cars while collecting flags. Stall the red cars using a smokescreen when they get too close. The ""Arcade Archives"" series has faithfully reproduced many c…"
11759,Arcade Archives RASTAN SAGA,70010000076576,7.99,
9976,Arcade Archives REZON,70010000064477,7.99,
13137,Arcade Archives RIOT,70010000086548,7.99,
3231,Arcade Archives ROAD FIGHTER,70010000022051,7.99,"""ROAD FIGHTER"" is a racing game released by KONAMI in 1984. Control your monster machine at speeds of up to 400 km/h, avoiding enemy cars and oil spills to finish all 6 stages faster than anyone else. If you start to swerve off-course, countersteer and u…"
8232,Arcade Archives ROLLER JAMMER,70010000053905,7.99,"""ROLLER JAMMER"" is an action game released by Nichibutsu in 1984. Win your way up the ranks in a variety of races as you work to become a pro roller skater! The competition will call for more than just speed - you'll also need to be tough enough to hang …"
7541,Arcade Archives ROLLING THUNDER,70010000049418,7.99,"""ROLLING THUNDER"" is an action game released by NAMCO（BANDAI NAMCO Entertainment Inc.) in 1986. Control the hero (codename: ALBATROSS) and infiltrate the secret base of the GELDRA secret society as they plot to dominate the globe. Experience a hard-boile…"
9628,Arcade Archives ROLLING THUNDER 2,70010000062991,7.99,
8204,Arcade Archives ROMPERS,70010000053738,7.99,"""ROMPERS"" is an action puzzle game released by NAMCO (Bandai Namco Entertainment Inc.) in 1989. Control the hero CHAP, and evade monster attacks and collect all of the keys in the mazes. Knock down the stone walls with all your might to beat the monsters…"
1565,Arcade Archives ROUTE 16,70010000013498,7.99,"“ROUTE 16” is an action game released by SUN ELECTRONICS CORP in 1981. Zoom around the city, dodging past enemies while collecting items to clear the game! Use Search Mode to see the full city, and Zoom Mode to have a close up of the action. A truly uniq…"
762,Arcade Archives RYGAR,70010000006282,7.99,"""RYGAR"" is a video game created by Tecmo in 1986 and originally released for arcades in Japan as 'Warrior of Argus'. It is a scrolling platform game where the player assumes the role as the ""Legendary Warrior"". The main feature of gameplay is using a wea…"
12266,Arcade Archives Rastan Saga II,70010000079498,7.99,
1338,Arcade Archives Renegade,70010000011962,7.99,"""Renegade"" is an action game that was released by Tecnos Japan in 1986.  In ""Renegade"", players control a vigilante (named Mr. K), who fights a variety of street gangs on his way to save his girlfriend. The ""Arcade Archives"" series has faithfully reprodu…"
5364,Arcade Archives Rod Land,70010000036154,7.99,"""Rod Land"" is an action game released by JALECO in 1990. Control fairy siblings Tam and Rit to rescue their mother who has been kidnapped by an evil demon. Use a magic wand (rod) and rainbow boots to scale MABOOT TOWER and defeat its master! The ""Arcade …"
10963,Arcade Archives Rug Rats,70010000071346,7.99,
5153,Arcade Archives Rush'n Attack,70010000035966,7.99,"""Rush'n Attack"" is an action game released by KONAMI in 1985.  Infiltrate an enemy base and get past four obstacles to rescue your comrades! Take out foes with a knife, or with weapons dropped from enemies. Jump and duck to avoid attacks and make it to t…"
5704,Arcade Archives SABOTEN BOMBERS,70010000038754,7.99,"""SABOTEN BOMBERS"" is an action game released by NMK in 1992. Take control of a good little cactus that lives in your house. While you are out, he will protect your house. Throw bombs to drive out the bad cactuses and insects. The ""Arcade Archives"" series…"
3464,Arcade Archives SAINT DRAGON,70010000025849,7.99,"""SAINT DRAGON"" is a shooting game released by JALECO in 1989. Set in outer space with detailed graphics, giant space dragon SAINT DRAGON fights fiercely against enemy mechs. This game features simple 1 button controls for firing normal bullets and specia…"
1834,Arcade Archives SASUKE VS COMMANDER,70010000015057,7.99,"""SASUKE VS COMMANDER"" is a shooting game released by SNK in 1980. Become the ninja Sasuke and take down enemy ninjas who are after the shogun's life. Ninja bosses attack with various ninjutsu, so calmly assess their patterns and strike back! The ""Arcade …"
11181,Arcade Archives SCRAMBLE FORMATION,70010000072439,7.99,
6241,Arcade Archives SEA FIGHTER POSEIDON,70010000041211,7.99,"“SEA FIGHTER POSEIDON” is an action shooting game released by TAITO in 1984. The player fights against enemy divers and enemy’s battleships to save his captured friends. If the player's water scooter runs out of fuel, it will explode, so be sure to defea…"
6044,Arcade Archives SEICROSS,70010000040531,7.99,"""SEICROSS"" is a shooting game released by Nichibutsu in 1984. Taking place in an interstellar city, drive your bike, GILGIT, and rescue Petrimen while avoiding attacks. Enemy bikes can be defeated by bodily hitting them to knock them over or into walls a…"
9527,Arcade Archives SENJYO,70010000061145,7.99,"""SENJYO"" is a shooting game released by TEHKAN (KOEI TECMO GAMES) in 1983. Use the radar search at the bottom of the screen to destroy Space Tanks approaching from 360 degrees with your own twin laser cannons. Destroy 32 Space Tanks to advance to the nex…"
11026,Arcade Archives SHAO-LIN'S ROAD,70010000071305,7.99,
6038,Arcade Archives SHINGEN SAMURAI-FIGHTER,70010000040728,7.99,"""SHINGEN SAMURAI-FIGHTER"" is an action game released by JALECO in 1988. The player controls Takeda Shingen, embarking on a grand journey to defeat Uesugi Kenshin. Pick up the 風（FU), 林(RIN), 火(KA), 山(ZAN), and other items that power you up as you defeat e…"
11659,Arcade Archives SILK WORM,70010000075516,7.99,
6709,Arcade Archives SKY KID,70010000044533,7.99,"""SKY KID"" is a shooter released by NAMCO in 1985. Players control BARON and MAX to fight enemies with bombs and machine guns, fly in loops to dodge enemy attacks, and make their way to the base. Use bombs to defeat massive fortresses and battleships from…"
9331,Arcade Archives SKY KID DX,70010000060879,7.99,
4962,Arcade Archives SOCCER,70010000034559,7.99,"""SOCCER"" is a sports game released by Nintendo in 1985. Play matches against the CPU in single player mode or another player in 2-player mode. Try polishing your skills in single player, then take on friends and family! Enjoy simple, but exciting gamepla…"
6569,Arcade Archives SOLDAM,70010000043167,7.99,"""SOLDAM"" is a puzzle game released by JALECO in 1992. The game is an elusive puzzle known only to the fairy folk. The core rule of the game is to line up rows of nuts with the same color horizontally to remove them. The puzzle also has a special trick: s…"
9262,Arcade Archives SOLITARY FIGHTER,70010000060408,7.99,
6587,Arcade Archives SPACE CRUISER,70010000043164,7.99,"""SPACE CRUISER"" is a shooter released by TAITO in 1981. Players take on the role of a SPACE CRUISER captain in 2100 AD, patrolling space to ensure peace on Earth.  Intercept enemies, go beyond the asteroid belt, and power up your ship at space stations! …"
7142,Arcade Archives SPACE SEEKER,70010000047846,7.99,"""SPACE SEEKER"" is a hybrid strategy and shooting game released by TAITO in 1981. The game has you battling for victory against ever-approaching waves of enemy air forces in first-person 3D, and mobile fortresses in side-scrolling 2D. Use the map to track…"
9616,Arcade Archives SPLATTER HOUSE,70010000062971,7.99,
960,Arcade Archives STAR FORCE,70010000008629,7.99,"""STAR FORCE"" is a shooting game released in 1984 by Tehkan (now Koei Tecmo Games). It was very popular due to its variety of hidden bonuses as well as the competitiveness for achieving high scores. The ""Arcade Archives"" series has faithfully reproduced m…"
10436,Arcade Archives STRATO FIGHTER,70010000067196,7.99,
10736,Arcade Archives STRIKE GUNNER,70010000069528,7.99,
3931,Arcade Archives SUNSETRIDERS,70010000028650,7.99,"""SUNSETRIDERS"" is an action shooting game released by KONAMI in 1991. The game takes place in the American Old West during the 19th century. Four gunmen are out to claim the grand prize linked to SIR RICHARD ROSE. Enjoy this exhilarating Western with sim…"
4970,Arcade Archives SUPER COBRA,70010000034568,7.99,"""SUPER COBRA"" is a shooting game released by KONAMI in 1981. The player's goal is to fly their helicopter all the way to the enemy base that appears at the end and claim the spoils of war. Be careful not just of enemies as you progress through the game, …"
11328,Arcade Archives SUPER CONTRA,70010000073139,7.99,
7208,Arcade Archives SUPER PAC-MAN,70010000047558,7.99,"""SUPER PAC-MAN"" is an action game released by NAMCO in 1982. It’s an additional power-up to NAMCO's flagship title, ""PAC-MAN""! Eat SUPER POWER PELLETS to become invincible and get a speed boost! Eat a POWER PELLET after that and become SUPER PAC-MAN to t…"
4236,Arcade Archives SUPER PUNCH-OUT!!,70010000030308,7.99,"“SUPER PUNCH-OUT!!” is a sports-action game released by Nintendo in 1984. The main character participates in heated 3-minute matches against world-class fighters. With the same dual-screen punching action from prequel, and the new ""Ducking"" defense move,…"
11776,Arcade Archives SURPRISE ATTACK,70010000076571,7.99,
5717,Arcade Archives SWIMMER,70010000038441,7.99,"""SWIMMER"" is an action game released by TEHKAN (KOEI TECMO GAMES) in 1982. Take control of the swimmer and see if you can make it to the treasure island. Use Power Pills and dive underwater to skillfully avoid obstacles and enemy monsters. The ""Arcade Ar…"
3199,Arcade Archives Scramble,70010000022324,7.99,"""Scramble"" is a shooting game released by KONAMI in 1981. Players control a space fighter with a limited fuel supply as they battle enemies and try to destroy the enemy base. KONAMI has produced many masterful shooting games like Arcade Archives' favorit…"
5368,Arcade Archives Shanghai III,70010000036948,7.99,"'Shanghai III' is a puzzle game that was released from SUNSOFT in 1993.  Players pick from an assortment of mahjong tile patterns such as Dragon, Tiger, etc. The object is to clear all of the tiles from the screen by matching them in pairs. The game runs…"
745,Arcade Archives Shusse Ozumo,70010000006313,7.99,"'Shusse Ozumo' is a sports game that was developed by Technos Japan in 1984. Players play as Sumo wrestlers, and aim to become a Yokozuna. 'Shusse Ozumo' is the oldest sumo arcade game and was the forerunner of later Sumo Tournament games. Sumo is a comp…"
1181,Arcade Archives Sky Skipper,70010000010534,7.99,"""Sky Skipper"" is a shooting action game released in 1981 by Nintendo. Dodge enemy attacks and counterattack with your bombs! Get even more points by saving the right combination of 4 animals! Don't forget to go and replenish your fuel when you run low. T…"
728,Arcade Archives Soldier Girl Amazon,70010000006258,7.99,"""Soldier Girl Amazon"" is a shooting game released by Nichibutsu in 1986. The soldier girl Amazon fights on the completely changed Earth which has been dominated by strange beasts and crazy cyborgs on the stage. Take air Mobils from enemies, and chase pri…"
746,Arcade Archives Solomon's Key,70010000006306,7.99,"'Solomon's Key' is an action game that was released from Tecmo in 1986. Players make full use of the 'magic' of the main character Dana to collect items in various stages and get the book called 'Solomon's key'. Unusual for a game in its time, an arcade …"
732,Arcade Archives Super Dodge Ball,70010000006267,7.99,"""Super Dodge Ball"" is an action game released by Technos Japan in 1987. Players compete with powerful teams of the world, to become a Super Dodge Ball team of the world. In Japan, it was the second game with starring Technos Japan's video game character …"
8214,Arcade Archives Super Volleyball,70010000053910,7.99,"""Super Volleyball"" is a sports game released by VIDEO SYSTEM in 1989 . It features techniques like delayed attacks and back attacks despite its simple controls, for high-level back-and-forth matches. A title that truly captures the fun of volleyball. The…"
1668,Arcade Archives T.N.K III,70010000014805,7.99,""" T.N.K III "" is a vertically scrolling shooting game released by SNK in 1985. In the last years of the great war, when authorities get word that an enemy nation is developing weapons on a small island, they order a special task force to destroy the enem…"
9366,Arcade Archives TANK FORCE,70010000060215,7.99,"""TANK FORCE"" is a shooter released by NAMCO (Bandai Namco Entertainment Inc.) in 1991. Take control of your own tank and defeat the enemies that attack your command center to clear each round. The game is over if MY TANK is destroyed. The key to victory …"
5885,Arcade Archives TASK FORCE HARRIER,70010000039291,7.99,"""TASK FORCE HARRIER"" is a shooting game released by UPL in 1989. The player pilots Harrier V, a fully customized advanced fighter aircraft based on Harrier 2, and deploys to save the world from a coup led by the old faction. Collect items to upgrade your…"
1479,Arcade Archives TECMO BOWL,70010000013254,7.99,“TECMO BOWL” is an American football game released by TECMO in 1987. Experience matches as a player of either the WILDCATS or BULLDOGS. Predict your opponent’s moves and steal the ball! Use passes and runs to cut through their line and score an amazing t…
9954,Arcade Archives TECMO KNIGHT,70010000064469,7.99,
1221,Arcade Archives TERRA CRESTA,70010000010795,7.99,"""TERRA CRESTA"" is a shooting game that was released from Nichibutsu in 1985. Players recapture parts that have been left in the ground, to intercept the enemy in the formation attack. To aim the space devil Mandora. The ""Arcade Archives"" series has faith…"
2653,Arcade Archives TERRA FORCE,70010000019218,7.99,'TERRA FORCE' is a shoot'em up released by Nichibutsu in 1987. The game was well known for its new tactical features using vertical/horizontal scrolling elements at the time. So eliminate the incoming enemies by using the super destructive hyper missiles…
9624,Arcade Archives TETRIS® THE ABSOLUTE THE GRAND MASTER 2 PLUS,70010000062449,7.99,
7125,Arcade Archives TETRIS® THE GRAND MASTER,70010000047787,7.99,"""TETRIS® THE GRAND MASTER"" is a puzzle game released by ARIKA in 1998.  Test yourself against players around the globe! This version features a rank certification system that analyzes your speed, accuracy, and technique to rank players into 19 skill leve…"
5673,Arcade Archives THE ASTYANAX,70010000038805,7.99,"""THE ASTYANAX"" is an action game released by JALECO in 1989.  After receiving a divine revelation, a warrior sets out to battle the evil demons and restore peace to the world.  Harness the power of the Fire Axe and strike your foes with conviction! The ""…"
12697,Arcade Archives THE FINAL ROUND,70010000082920,7.99,
742,Arcade Archives THE LEGEND OF KAGE,70010000006316,7.99,"'THE LEGEND OF KAGE' is an action game that was released by TAITO in 1985. Players take role of the young Iga ninja named 'Kage' on the mission to rescue Princess Kiri from villains.  In this work, there are 2 version of the game that has been used a sou…"
7737,Arcade Archives THE LEGEND OF VALKYRIE,70010000050476,7.99,"""THE LEGEND OF VALKYRIE"" is an action game released by NAMCO（Bandai Namco Entertainment Inc.) in 1989. ""THE LEGEND OF VALKYRIE"" features the popular VALKYRIE once again, for an even higher-power adventure! ""When the seeds of gold are watered by the north…"
9518,Arcade Archives THE NEWZEALAND STORY,70010000061171,7.99,"""THE NEWZEALAND STORY"" is an action game released by TAITO in 1988. Take control of the hero TIKI on an adventure to rescue your darling Phee-phee from the leopard seal. Each stage is a sprawling maze. Fight your way to the goal, using balloons for float…"
12683,Arcade Archives THE NINJA KIDS,70010000082915,7.99,
744,Arcade Archives THE NINJA WARRIORS,70010000006322,7.99,"THE NINJA WARRIORS is a side-scrolling action game released by TAITO in 1987. Control the cyborg-ninjas, NINJA and KUNOICHI, as you take down the Demon King, Banglar. Defeat the onslaught of enemies with kunai and shuriken as your weapons. The ""Arcade Ar…"
3108,Arcade Archives THE TIN STAR,70010000022530,7.99,"""THE TIN STAR"" is a shooting game released by TAITO in 1983. Control the sheriff and take out the gang of thugs. Skillfully utilize features in the main stages, such as surprising the enemy or getting double points. Duel on horseback in the bonus stage! …"
7495,Arcade Archives THE TOWER OF DRUAGA,70010000049390,7.99,"""THE TOWER OF DRUAGA"" is an action RPG game released by NAMCO （Bandai Namco Entertainment Inc.) in 1984. Go upstairs one after another while getting various items hidden on each floor of the huge tower controlled by DRUAGA, and rescue your lover KI who w…"
7688,Arcade Archives THUNDER CEPTOR,70010000050466,7.99,"""THUNDER CEPTOR"" is a shooter released by NAMCO (Bandai Namco Entertainment Inc.) in 1986. Your mission is to safely return to the Federation Base through the energy corridors that connect star systems. This title also features a new score by the origina…"
8158,Arcade Archives THUNDER CEPTOR II,70010000053915,7.99,
5539,Arcade Archives THUNDER CROSS,70010000037341,7.99,"""THUNDER CROSS"" is a shooting game released by KONAMI in 1988. Take control of the BLUE THUNDER M-45 and fight against the Mechanikon hordes. Multiple versions of the game are included, such as the ""OLD Japanese Version"" and the ""NEW Japanese Version,"" w…"
5682,Arcade Archives THUNDER CROSS II,70010000038728,7.99,"""THUNDER CROSS II"" is a shooting game released by KONAMI in 1991. Control Blue Thunder 2 and Red Thunder 2 and battle for the survival of the galaxy. Upgrade your shots and increase your options to defeat the bosses. Two player co-op is also available. T…"
5736,Arcade Archives THUNDER DRAGON,70010000038124,7.99,"""THUNDER DRAGON"" is a shooting game released by NMK in 1991. You must pilot a manned combat helicopter “Thunder Dragon” in order to stop a group of mad scientists that have taken over an automated weapon of destruction. Utilize 4 different types of shots…"
7353,Arcade Archives THUNDER DRAGON 2,70010000048380,7.99,"""THUNDER DRAGON 2"" is a shooting game released by NMK in 1993.  Let's aim to defeat the boss by using aircraft with different performance in 1P and 2P. It is an exhilarating work that defeats enemies that appear one after another with shots and bombs. Th…"
2103,Arcade Archives TIME PILOT,70010000016722,7.99,TIME PILOT is a shooting game released by KONAMI in 1982. Transport five generations into the future and shoot down enemy ships with a full 360º of motion. Rescue parachuters and take out entire enemy formations to earn a high score! Fly into a battle be…
5666,Arcade Archives TIME PILOT '84,70010000038733,7.99,"""TIME PILOT '84"" is a shooting game released by KONAMI in 1984. Pilot your aircraft in 8 different directions and defeat enemies with your Vulcan cannon and homing missiles. Defeat the giant ship at the end of each stage to continue to the next. The ""Arc…"
2383,Arcade Archives TIME TUNNEL,70010000018882,7.99,"""TIME TUNNEL"" is an action game released by TAITO in 1982. Pass the objectives on each stage and then pass through the TIME TUNNEL! Connect train carriages, pick-up passengers, and transport them to the...space station?! Skillfully change the railway poi…"
12423,Arcade Archives TINKLE PIT,70010000080142,7.99,
8520,Arcade Archives TOUKI DENSHOU ANGEL EYES,70010000055057,7.99,"""TOUKI DENSHOU ANGEL EYES"" is a fighting game released by TECMO in 1996. The player must win fierce battles against powerful opponents for the title of ""Archangel"". You can use super special moves and special techniques to gain an advantage in battle whe…"
8522,Arcade Archives TOY POP,70010000055507,7.99,"""TOY POP"" is an action game released by NAMCO （Bandai Namco Entertainment Inc.) in 1986. You control PINO and ACHA, who pop out of a toy box, and collect the hearts hidden in the box (stage) to open the door and advance. Use the change targets hidden in …"
2788,Arcade Archives TRACK & FIELD,70010000020202,7.99,"""TRACK & FIELD"" is a sports game released by KONAMI in 1983. It's a game that's easy to control and can be played by up to 4 people at once! Use the RUN button and JUMP button to aim for first place in the 100m sprint, long jump, javelin throw, 110m hurd…"
7145,Arcade Archives TRIO THE PUNCH,70010000047696,7.99,"""TRIO THE PUNCH"" is a side-scrolling action game released by Data East in 1990. In 1990, the ""three strong men"" appeared at the game center and were wrapped in a whirlpool of laughter⁉ The priest barks! Cursed by sheep! And a hot man runs around! The ""Ar…"
4156,Arcade Archives TUBE PANIC,70010000029007,7.99,"""TUBE PANIC"" is a shooting game released by Nichibutsu in 1984. It is considered to be the first game circuit board to have a 3D rotation function. A mysterious tube net appears before the command ship Marcus as it cruises through space. Use 360° turning…"
9674,Arcade Archives TURBO FORCE,70010000062092,7.99,
6388,Arcade Archives TYPHOON GAL,70010000042864,7.99,"""TYPHOON GAL"" is an action game released by TAITO in 1985. Players control martial-arts challenger Yuki as she faces off with the toughest opponents at rival martial arts schools. Yuki can use both major and minor techniques. Weaken enemies with minor te…"
10045,Arcade Archives Tank Battalion,70010000065755,7.99,
12692,Arcade Archives Tecmo Stackers,70010000082721,7.99,
4925,Arcade Archives The Fairyland Story,70010000034786,7.99,"""The Fairyland Story"" is an action game released by TAITO in 1985. Take control of a young witch and battle against monsters deep within the castle. Master various magics and techniques to overcome your enemies. The ""Arcade Archives"" series has faithfull…"
6554,Arcade Archives The Genji and the Heike Clans,70010000043817,7.99,"""The Genji and the Heike Clans"" is an action game released by NAMCO in 1986. Players control the hero Taira no Kagekiyo on a mission to the capital city of Kamakura, to defeat the Demon Genji Clan's king Yoritomo. The player will face attacks by Genji Cl…"
6500,Arcade Archives The Return of ISHTAR,70010000043822,7.99,"""The Return of ISHTAR"" is an action game released by NAMCO (Bandai Namco Entertainment Inc.) in 1986. The story takes place after the overthrow of DRUAGA. The tower has lost DRUAGA's magic power and is now in its original ruins, and the monsters have bec…"
658,Arcade Archives Traverse USA,70010000004550,7.99,"""Traverse USA"" is a racing game released by IREM in 1983. Hop on a motorcycle and ride across America, avoiding cars as you head to your goal of New York City. A variety of obstacles await off-road and on, so utilize all your techniques as you participat…"
11755,Arcade Archives Tutankham,70010000076514,7.99,
3490,Arcade Archives TwinBee,70010000025464,7.99,"""TwinBee"" is a shooting game released by KONAMI in 1985. Players will control fighters which are called 'TwinBee' and 'WinBee', that Dr. Cinnamon developed, and challenge the fight to the army. There are two versions, 'Bubble system' and 'ROM', in this w…"
1581,Arcade Archives URBAN CHAMPION,70010000013251,7.99,"“URBAN CHAMPION” is a beat 'em up fighting game, first released by Nintendo in 1984. True to its namesake, fighting men duke it out, fist to fist, for the title of ""Urban Champion""! Go into battle with light and heavy punches, as well as dodging and othe…"
6404,Arcade Archives USAAF MUSTANG,70010000042869,7.99,"""USAAF MUSTANG"" is a shooter released by UPL in 1990. Players pilot a plane and take on enemy squadrons. Use power-up items to enhance your weapons and gain the advantage as you clear stages. The key to victory is the ""STRIKE FORCER"" attack, which makes …"
6412,Arcade Archives VANDYKE,70010000042859,7.99,"VANDYKE is an action game released by UPL in 1990. Players use weapons including swords, boomerangs, bombs, and flails to defeat enemies and bosses as they progress. Your character will also gain attack power and strike a heroic pose when you pick up mea…"
6231,Arcade Archives VENDETTA,70010000041275,7.99,"""VENDETTA"" is a beat-em-up released by KONAMI in 1991. Players fight to save a friend's younger sister, who was kidnapped by the Dead End Gang. Select one of four colorful characters to play. This title also supports simultaneous play with up to four pla…"
1681,Arcade Archives VICTORY ROAD,70010000014836,7.99,"VICTORY ROAD is an action game released by SNK in 1986. RALF and CLARK, after finishing their mission in IKARI WARRIORS, suddenly find themselves dragged into an alternate dimension. To help them get back home, use their now-familiar firearms and other n…"
3217,Arcade Archives VIGILANTE,70010000022115,7.99,"""VIGILANTE"" is an action game released by IREM in 1988. Play as a vigilante who sets out to rescue his beloved Madonna from the Rogue Gang, a group so out of hand even the police can't stop them. Punch, kick, and use your powerful nun-chucks to fight you…"
12786,Arcade Archives VIOLENCE FIGHT,70010000083449,7.99,
11769,Arcade Archives VOLFIED,70010000076566,7.99,
3283,Arcade Archives VS. BALLOON FIGHT,70010000023310,7.99,"""VS. BALLOON FIGHT"" is an action game released by Nintendo in 1984.  This game features uniquely floaty controls. Two players can play thrilling balloon popping battles simultaneously. Will you help out or butt in? You'll have fun doing either! The ""Arca…"
4260,Arcade Archives VS. BASEBALL,70010000030299,7.99,"""VS. BASEBALL"" is a sports game released by Nintendo in 1984. Capturing the very essence of what makes baseball fun, the game has influenced many other baseball games made since. While somewhat simple, the game boasts many features such as pitch selectio…"
13287,Arcade Archives VS. BATTLE CITY,70010000087162,7.99,
2946,Arcade Archives VS. CASTLEVANIA,70010000021162,7.99,"""VS. CASTLEVANIA"" is an action game released by KONAMI in 1987. The demonic Count Dracula has awakened from his 100 year slumber. Play as Simon, as he sets out for Dracula's castle of evil in order to defeat him. With the whip handed down through his fam…"
2802,Arcade Archives VS. GRADIUS,70010000020931,7.99,"""VS. GRADIUS"" is a KONAMI’s shooting game released in 1986. Control VIC VIPER to destroy the invading cosmic force BACTERIAN and save the planet GRADIUS. Enhance your machine with power capsules such as lasers and other options, and fight your way throug…"
3795,Arcade Archives VS. MAH-JONG,70010000027447,7.99,“VS. MAH-JONG” is a 2-player Mahjong game released by Nintendo in 1984. Practice against the computer with 1-player mode or play against friends and family with 2-player mode. Think whether to make complex Mahjong hand or reliable Mahjong hand and experi…
12447,Arcade Archives VS. STAR LUSTER,70010000080137,7.99,
547,Arcade Archives VS. SUPER MARIO BROS.,70010000003432,7.99,"""VS. SUPER MARIO BROS."" is an action game released in 1986 by Nintendo. Mario and Luigi must go on a widespread adventure in order to rescue Peach from the clutches of Bowser. This version is from the Nintendo VS.SYSTEM, and the positions of enemies and …"
7620,Arcade Archives VS. SUPER XEVIOUS MYSTERY OF GUMP,70010000050471,7.99,
5382,Arcade Archives VS. TENNIS,70010000036473,7.99,"""VS. Tennis"" is a sports game released by Nintendo in 1984.  This work can be played this game with up to 4 players.  You can compete with each other in singles play or play together in doubles play.  The key to victory is to use two different types of h…"
12713,Arcade Archives VS. THE ADVENTURE OF VALKYRIE : The Legend of the Key of Time,70010000082126,7.99,
3963,Arcade Archives VS. WRECKING CREW,70010000028433,7.99,"""VS. WRECKING CREW"" is an action game released by Nintendo in 1984. Play as Mario or Luigi and break down designated walls to demolish buildings. Be warned, however, the buildings are home to monsters, and they wander around the floors to bother player's…"
11808,Arcade Archives WAR OF AERO,70010000076221,7.99,
8927,Arcade Archives WARP & WARP,70010000058493,7.99,
2389,Arcade Archives WATER SKI,70010000018875,7.99,"WATER SKI is a sports game released by TAITO in 1983. Control the skier's movements as they follow behind a motorboat and aim for the goal. Jump over any small obstacles to avoid them. If you make a good jump on the jump ramps, you will get lots of point…"
2417,Arcade Archives WILD WESTERN,70010000018004,7.99,WILD WESTERN is an action game released by TAITO in 1982. Play as a horse-riding sheriff to deal justice with your pistol to the outlaws attacking you from all directions. There are even battles atop the roof of a train. Leap off your horse onto the roof…
